period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w
2024-04-18,0.13211001,-0.00582483,0.12007734,0,0.00000000,1.00000000,20,1,1.00000000
2024-04-22,0.11377383,0.00580740,0.10183647,0,0.00000000,1.00000000,20,1,1.00000000
2024-04-24,0.02519901,0.00074290,0.01270177,0,0.00000000,1.00000000,20,1,1.00000000
2024-04-26,0.23940817,0.00420140,0.22343331,0,0.00000000,1.00000000,20,1,1.00000000
2024-04-30,0.14316386,-0.00878226,0.12183683,0,0.00000000,1.00000000,20,1,1.00000000
2024-05-02,0.09305824,0.01741840,0.07453542,0,0.00000000,1.00000000,20,3,1.00000000
2024-05-06,0.02185606,0.00524571,0.01005384,0,0.00000000,1.00000000,20,1,1.00000000
2024-05-08,0.02171657,-0.00495662,0.01426547,0,0.00000000,1.00000000,20,3,1.00000000
2024-05-10,0.09782503,-0.00067320,0.08627298,0,0.00000000,1.00000000,20,1,1.00000000
2024-05-14,0.06929006,0.00684120,0.05694410,0,0.00000000,1.00000000,20,1,1.00000000
2024-05-16,0.00844554,0.00203112,0.00198098,0,0.00000000,1.00000000,20,3,1.00000000
2024-05-20,0.32184681,0.01802506,0.30767032,0,0.00000000,1.00000000,20,1,1.00000000
2024-05-22,0.00879717,-0.00201050,0.00738542,0,0.00000000,1.00000000,20,8,1.00000000
2024-05-24,0.17869493,0.00151779,0.16215777,0,0.00000000,1.00000000,20,1,1.00000000
2024-05-29,0.19384570,-0.02442491,0.17979645,0,0.00000000,1.00000000,20,1,1.00000000
2024-05-31,0.01666551,0.00324305,0.01500404,0,0.00000000,1.00000000,20,3,1.00000000
2024-06-04,0.03254156,0.01338907,0.02154879,0,0.00000000,1.00000000,20,2,1.00000000
2024-06-06,0.10989341,0.02042248,0.09404536,0,0.00000000,1.00000000,20,2,1.00000000
2024-06-10,0.21847984,-0.00004145,0.20059365,0,0.00000000,1.00000000,20,1,1.00000000
2024-06-12,0.14334518,-0.02177153,0.12561757,0,0.00000000,1.00000000,20,1,1.00000000
2024-06-14,0.11672771,0.00223947,0.10518636,0,0.00000000,1.00000000,20,1,1.00000000
2024-06-18,0.07372546,0.00157863,0.06344732,0,0.00000000,1.00000000,20,2,1.00000000
2024-06-21,0.13409713,0.01339205,0.11648300,0,0.00000000,1.00000000,20,1,1.00000000
2024-06-25,0.08523096,-0.00762479,-0.02070364,1,4.00678272,1.00000000,20,7,1.00000000
2024-06-27,0.07246919,0.00164166,-0.00289222,1,3.98361518,1.00000000,20,8,1.00000000
2024-07-01,0.04387048,0.00080214,-0.01916956,1,4.13045407,1.00000000,20,7,1.00000000
2024-07-03,0.06914109,0.00836039,-0.01702118,1,4.04172942,1.00000000,20,8,1.00000000
2024-07-08,0.00400669,-0.00094461,-0.04942519,1,4.03964591,1.00000000,20,7,1.00000000
2024-07-10,0.02426616,0.00307634,-0.03252608,1,4.07741164,1.00000000,20,8,1.00000000
2024-07-12,0.03208239,0.00053423,-0.03012666,1,4.13530788,1.00000000,20,7,1.00000000
2024-07-16,0.01511297,0.00584088,-0.04039340,1,4.14089444,1.00000000,20,10,1.00000000
2024-07-18,0.00727523,-0.00259373,-0.04293543,1,4.18204374,1.00000000,20,13,1.00000000
2024-07-22,0.00415955,0.00098876,-0.04849184,1,4.23728866,1.00000000,20,13,1.00000000
2024-07-24,0.16161694,-0.00771700,0.04437658,1,4.25876942,1.00000000,20,6,1.00000000
2024-07-26,0.01788160,0.00636007,-0.04112278,1,4.21413348,1.00000000,20,9,1.00000000
2024-07-30,0.00712249,0.00056151,-0.04845817,1,4.22540584,1.00000000,20,9,1.00000000
2024-08-01,0.00056436,-0.00032739,-0.05265926,1,4.18355764,1.00000000,20,11,1.00000000
2024-08-05,0.03234963,-0.01118587,-0.02789728,1,4.15428698,1.00000000,20,9,1.00000000
2024-08-07,0.10409149,-0.00866603,-0.00939111,1,4.20940371,1.00000000,20,7,1.00000000
2024-08-09,0.01439654,0.00337345,-0.04473127,1,4.18416376,1.00000000,20,11,1.00000000
2024-08-13,0.06385594,0.00184741,-0.02062222,1,4.21874055,1.00000000,20,10,1.00000000
2024-08-15,0.05712337,0.00400706,-0.01590118,1,4.21759211,1.00000000,20,8,1.00000000
2024-08-19,0.05267073,0.00387492,-0.03161896,1,4.27584012,1.00000000,20,9,1.00000000
2024-08-21,0.03608074,0.00200445,-0.02811062,1,4.26108287,1.00000000,20,9,1.00000000
2024-08-23,0.00633927,0.00377582,-0.04714779,1,4.33308693,1.00000000,20,11,1.00000000
2024-08-27,0.00718264,0.00262427,-0.04945702,1,4.23749769,1.00000000,20,13,1.00000000
2024-08-29,0.00459075,0.00150404,-0.04931961,1,4.30172657,1.00000000,20,10,1.00000000
2024-09-03,0.31324995,-0.01923683,0.13083720,1,4.47710766,1.00000000,20,1,1.00000000
2024-09-05,0.00614895,0.00072106,-0.05343974,1,4.35794156,1.00000000,20,12,1.00000000
2024-09-09,0.09562560,0.01128567,-0.01916262,1,4.36850839,1.00000000,20,6,1.00000000
2024-09-11,0.05731849,-0.00294629,-0.01461494,1,4.39714417,1.00000000,20,14,1.00000000
2024-09-13,-0.00437802,0.00406393,-0.05957633,1,4.42354018,1.00000000,20,10,1.00000000
2024-09-17,0.01677147,-0.00141657,-0.03386615,1,4.03759150,1.00000000,20,9,1.00000000
2024-09-19,0.14009203,0.00544447,0.01857516,1,4.05971650,1.00000000,20,4,1.00000000
2024-09-23,0.01233968,-0.00100052,-0.05034944,1,4.07571589,1.00000000,20,7,1.00000000
2024-09-25,0.05879239,0.00068759,-0.03174919,1,4.08606633,1.00000000,20,7,1.00000000
2024-09-27,0.01540919,0.00133232,-0.04811714,1,4.47484700,1.00000000,20,10,1.00000000
2024-10-01,0.02923040,-0.00303612,-0.03452490,1,4.17407812,1.00000000,20,8,1.00000000
2024-10-03,0.00096916,-0.00242752,-0.05048225,1,4.13473773,1.00000000,20,11,1.00000000
2024-10-07,0.22152280,-0.00727847,0.03269253,1,4.13658159,1.00000000,20,5,1.00000000
2024-10-09,0.01150542,0.00152417,-0.03992335,1,4.10335091,1.00000000,20,14,1.00000000
2024-10-11,0.12350143,0.00545160,-0.00245295,1,4.45831645,1.00000000,20,4,1.00000000
2024-10-15,0.00186815,0.00034060,-0.05375324,1,4.22481331,1.00000000,20,11,1.00000000
2024-10-17,0.33440875,0.07438064,0.08832288,1,4.23727358,1.00000000,20,2,1.00000000
2024-10-21,0.02959024,-0.00605399,-0.03756758,1,4.49702407,1.00000000,20,8,1.00000000
2024-10-23,0.03632370,0.00110853,-0.04618769,1,4.42451878,1.00000000,20,9,1.00000000
2024-10-25,0.45274079,-0.00347933,0.13379914,1,4.36753255,1.00000000,20,5,1.00000000
2024-10-29,0.00670419,-0.00128478,-0.05783368,1,4.29233570,1.00000000,20,7,1.00000000
2024-10-31,-0.00132862,-0.00394398,-0.06993660,1,4.37336298,1.00000000,20,7,1.00000000
2024-11-04,-0.00533519,0.00068007,-0.06873687,1,4.29727393,1.00000000,20,7,1.00000000
2024-11-06,0.05604934,0.00663513,-0.04576085,1,4.27801685,1.00000000,20,8,1.00000000
2024-11-08,0.03464538,-0.00048411,-0.04254107,1,4.40930942,1.00000000,20,8,1.00000000
2024-11-12,0.00088202,-0.00206635,-0.05999278,1,4.32507383,1.00000000,20,7,1.00000000
