period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,n_assets,n_invested,sum_w
2025-08-01,0.03160903,-0.00161156,0.01573871,1,40,5,1.00000000
2025-08-05,0.03904468,0.00596071,0.01555247,1,40,5,1.00000000
2025-08-07,0.08674390,-0.00827543,0.05847666,1,40,4,1.00000000
2025-08-11,0.24089603,0.00588158,0.18339855,1,40,1,1.00000000
2025-08-13,0.04532575,0.01623275,0.02422323,1,40,2,1.00000000
2025-08-15,0.04726452,-0.00562260,0.02623373,1,40,3,1.00000000
2025-08-19,0.13899665,0.01240129,0.06515342,1,40,1,1.00000000
2025-08-21,0.07016756,0.00384282,0.04952740,1,40,3,1.00000000
2025-08-25,0.19045773,-0.00263779,0.14583737,1,40,1,1.00000000
2025-08-27,0.09708705,0.01263929,0.05426936,1,40,2,1.00000000
2025-08-29,0.09614898,0.02301159,0.03874304,1,40,2,1.00000000
2025-09-03,0.05436921,0.00488068,0.02056561,1,40,4,1.00000000
2025-09-05,0.14891065,0.00139193,0.12391893,1,40,4,1.00000000
2025-09-09,0.27167946,-0.00163528,0.19190788,1,40,1,1.00000000
2025-09-11,0.16875293,0.01079065,0.14724017,1,40,3,1.00000000
2025-09-15,0.23852211,0.00132324,0.21306492,1,40,1,1.00000000
2025-09-17,0.02513862,-0.00279886,0.00984190,1,40,4,1.00000000
2025-09-19,0.09626267,0.03414208,0.06475728,1,40,1,1.00000000
2025-09-23,0.05479206,0.00580052,0.04483049,1,40,3,1.00000000
2025-09-25,0.06901199,-0.00118654,0.04665474,1,40,3,1.00000000
2025-09-29,0.15187965,-0.00805506,0.12326539,1,40,1,1.00000000
2025-10-01,0.23124266,0.00865062,0.15282756,1,40,1,1.00000000
2025-10-03,0.62698740,0.01815375,0.54298144,1,40,1,1.00000000
2025-10-07,0.01513089,0.00126412,0.00452660,1,40,10,1.00000000
2025-10-09,0.06604405,0.01882114,0.04446817,1,40,2,1.00000000
2025-10-13,0.06024243,0.01143925,0.03782275,1,40,2,1.00000000
2025-10-15,0.16184771,0.04177580,0.09916276,1,40,1,1.00000000
2025-10-17,0.14670712,0.00460389,0.08238256,1,40,1,1.00000000
2025-10-21,0.18868269,-0.07447970,0.15127533,1,40,1,1.00000000
2025-10-23,0.23182689,0.03303448,0.17047229,1,40,1,1.00000000
2025-10-27,0.23849721,0.00955429,0.13691379,1,40,1,1.00000000
2025-10-29,0.45490143,-0.00458547,0.37552705,1,40,1,1.00000000
2025-10-31,0.01259956,-0.00294747,0.00414236,1,40,8,1.00000000
2025-11-04,0.06185130,-0.02857568,0.03674828,1,40,3,1.00000000
2025-11-06,0.03958181,0.00256740,0.01508819,1,40,7,1.00000000
2025-11-10,0.13349397,0.00844463,0.05565858,1,40,2,1.00000000
2025-11-12,0.06748930,0.00627035,0.04062008,1,40,3,1.00000000
2025-11-14,0.00127051,-0.00467511,-0.00248579,1,40,19,1.00000000
2025-11-18,0.13339780,-0.01412852,0.11283965,1,40,1,1.00000000
2025-11-20,0.00331972,-0.00001292,-0.00012260,1,40,18,1.00000000
2025-11-24,0.06454890,0.01475543,0.01717725,1,40,1,1.00000000
2025-11-26,0.03842880,0.01658202,0.02354344,1,40,6,1.00000000
