period;expected_portfolio_return;realized_portfolio_return;objective;is_robust;n_assets;n_invested;sum_w;;;
1.04.2025;0,15599963;-0,00961104;0,11287885;1;40;2;100.000.000;947,9202726;949,5544447;
3.04.2025;0,13604339;-0,01630698;0,1109596;1;40;2;100.000.000;932,4625556;934,1956475;
7.04.2025;0,06976124;-0,02110111;0,04844627;1;40;2;100.000.000;912,7865607;914,6896057;
9.04.2025;0,1351201;0,10167258;0,09985349;1;40;2;100.000.000;1005,591925;1012,580558;1,107020952
11.04.2025;0,25295005;0,01266397;0,21820238;1;40;2;100.000.000;1018,326711;1025,485388;
15.04.2025;0,04672905;-0,0135781;0,01828357;1;40;2;100.000.000;1004,499769;1011,65535;
17.04.2025;0,29531631;0,00100538;0,26088857;1;40;1;100.000.000;1005,509673;1012,67296;
22.04.2025;0,1512402;0,03300712;0,13511184;1;40;1;100.000.000;1038,698652;1046,656136;
24.04.2025;0,40195191;0,04278217;0,32948586;1;40;1;100.000.000;1083,136434;1092,406018;
28.04.2025;0,03776055;0,00945836;0,01242985;1;40;5;100.000.000;1093,381128;1102,787406;
30.04.2025;0,12059776;0,02551563;0,09114248;1;40;1;100.000.000;1121,279437;1131,287778;
2.05.2025;0,0216945;0,01117723;0,00376373;1;40;9;100.000.000;1133,812235;1144,003371;
6.05.2025;0,1086026;-0,01871112;0,06736471;1;40;4;100.000.000;1112,597338;1122,796805;
8.05.2025;0,09461565;0,00039973;0,05413243;1;40;2;100.000.000;1113,042077;1123,24571;
12.05.2025;0,11107256;-0,00885282;0,07816234;1;40;1;100.000.000;1103,188515;1113,345704;
14.05.2025;0,1822422;-0,04719565;0,10037707;1;40;1;100.000.000;1051,122816;1062,021301;
16.05.2025;0,03704948;0,00813817;0,01289348;1;40;4;100.000.000;1059,677033;1070,699475;
20.05.2025;0,02036302;-0,00206612;0,00415073;1;40;5;100.000.000;1057,487613;1068,489565;
22.05.2025;0,28295878;0,02209491;0,2314753;1;40;1;100.000.000;1080,852706;1092,360488;
27.05.2025;0,00534512;0,00067082;0,0021691;1;40;9;100.000.000;1081,577764;1093,093511;
29.05.2025;0,42711049;0,01379932;0,39456739;1;40;1;100.000.000;1096,502802;1108,282013;
2.06.2025;0,0632226;-0,00231414;0,0261622;1;40;3;100.000.000;1093,965341;1105,720258;
4.06.2025;0,06838369;-0,00731816;0,03444538;1;40;2;100.000.000;1085,959527;1097,657957;
6.06.2025;0,18393013;-0,00501457;0,13944168;1;40;1;100.000.000;1080,513907;1092,167452;
10.06.2025;0,1585952;-0,01491315;0,11201034;1;40;1;100.000.000;1064,400041;1076,000644;
12.06.2025;0,1412121;0,01250495;0,11165279;1;40;2;100.000.000;1077,71031;1089,540459;
16.06.2025;0,09278034;0,00527131;0,05766997;1;40;1;100.000.000;1083,391256;1095,298928;
18.06.2025;0,16495479;-0,0011668;0,13472813;1;40;3;100.000.000;1082,127155;1094,021679;
23.06.2025;0,42629158;0,00520468;0,34095416;1;40;1;100.000.000;1087,75928;1099,730555;
25.06.2025;0,10554279;0,00439751;0,06192102;1;40;1;100.000.000;1092,542713;1104,57728;
27.06.2025;0,26209127;0,13207861;0,19771358;1;40;2;100.000.000;1236,844235;1260,541411;
1.07.2025;0,10920281;0,00356969;0,07735483;1;40;2;100.000.000;1241,259386;1265,049194;
3.07.2025;0,08392195;0,01490658;0,05846966;1;40;1;100.000.000;1259,762318;1284,048003;
8.07.2025;0,02371516;0,02976997;0,00771143;1;40;8;100.000.000;1297,265405;1322,848756;
10.07.2025;0,09741078;0,00157878;0,06545804;1;40;2;100.000.000;1299,313501;1324,938893;
14.07.2025;0,07065145;-0,00455973;0,03796437;1;40;7;100.000.000;1293,388983;1318,911282;
16.07.2025;0,17951883;-0,00454901;0,1417564;1;40;3;100.000.000;1287,505343;1312,925167;
18.07.2025;0,05360063;0,00326713;0,02342972;1;40;4;100.000.000;1291,71179;1317,221679;
22.07.2025;0,00292587;0,00043729;-0,00127072;1;40;9;100.000.000;1292,276643;1317,797813;
24.07.2025;0,15487531;0,00179478;0,09922968;1;40;1;100.000.000;1294,595995;1320,165094;
28.07.2025;0,13995661;-0,0016074;0,07455706;1;40;2;100.000.000;1292,515062;1318,044765;
30.07.2025;0,05201995;-0,00504846;0,02967674;1;40;6;100.000.000;1285,989851;1311,407437;
1.08.2025;0,03160903;-0,00161156;0,01573871;1;40;5;100.000.000;1283,917401;1309,295727;
5.08.2025;0,03904468;0,00596071;0,01555247;1;40;5;100.000.000;1291,570461;1317,123366;
7.08.2025;0,0867439;-0,00827543;0,05847666;1;40;4;100.000.000;1280,88216;1306,268579;
11.08.2025;0,24089603;0,00588158;0,18339855;1;40;1;100.000.000;1288,415771;1313,974141;
13.08.2025;0,04532575;0,01623275;0,02422323;1;40;2;100.000.000;1309,330302;1335,477612;
15.08.2025;0,04726452;-0,0056226;0,02623373;1;40;3;100.000.000;1301,968461;1327,989826;
19.08.2025;0,13899665;0,01240129;0,06515342;1;40;1;100.000.000;1318,11455;1344,561154;
21.08.2025;0,07016756;0,00384282;0,0495274;1;40;3;100.000.000;1323,179827;1349,738001;
25.08.2025;0,19045773;-0,00263779;0,14583737;1;40;1;100.000.000;1319,689556;1346,182367;
27.08.2025;0,09708705;0,01263929;0,05426936;1;40;2;100.000.000;1336,369495;1363,305138;
29.08.2025;0,09614898;0,02301159;0,03874304;1;40;2;100.000.000;1367,121482;1395,040699;
3.09.2025;0,05436921;0,00488068;0,02056561;1;40;4;100.000.000;1373,793964;1401,866089;
5.09.2025;0,14891065;0,00139193;0,12391893;1;40;4;100.000.000;1375,70619;1403,818747;
9.09.2025;0,27167946;-0,00163528;0,19190788;1;40;1;100.000.000;1373,456525;1401,524987;
11.09.2025;0,16875293;0,01079065;0,14724017;1;40;3;100.000.000;1388,277013;1416,730242;
15.09.2025;0,23852211;0,00132324;0,21306492;1;40;1;100.000.000;1390,114037;1418,606157;
17.09.2025;0,02513862;-0,00279886;0,0098419;1;40;4;100.000.000;1386,223302;1414,641228;
19.09.2025;0,09626267;0,03414208;0,06475728;1;40;1;100.000.000;1433,551849;1463,773997;
23.09.2025;0,05479206;0,00580052;0,04483049;1;40;3;100.000.000;1441,867196;1472,28932;
25.09.2025;0,06901199;-0,00118654;0,04665474;1;40;3;100.000.000;1440,156362;1470,543426;
29.09.2025;0,15187965;-0,00805506;0,12326539;1;40;1;100.000.000;1428,555817;1458,74569;
1.10.2025;0,23124266;0,00865062;0,15282756;1;40;1;100.000.000;1440,91371;1471,419484;
3.10.2025;0,6269874;0,01815375;0,54298144;1;40;1;100.000.000;1467,071697;1498,375198;
7.10.2025;0,01513089;0,00126412;0,0045266;1;40;10;100.000.000;1468,926252;1500,270522;
9.10.2025;0,06604405;0,01882114;0,04446817;1;40;2;100.000.000;1496,573119;1528,774723;
13.10.2025;0,06024243;0,01143925;0,03782275;1;40;2;100.000.000;1513,692793;1546,363167;
15.10.2025;0,16184771;0,0417758;0,09916276;1;40;1;100.000.000;1576,92852;1612,332083;
17.10.2025;0,14670712;0,00460389;0,08238256;1;40;1;100.000.000;1584,188525;1619,772197;
21.10.2025;0,18868269;-0,0744797;0,15127533;1;40;1;100.000.000;1466,198639;1503,51518;
23.10.2025;0,23182689;0,03303448;0,17047229;1;40;1;100.000.000;1514,633749;1554,012507;
27.10.2025;0,23849721;0,00955429;0,13691379;1;40;1;100.000.000;1529,104999;1568,931148;
29.10.2025;0,45490143;-0,00458547;0,37552705;1;40;1;100.000.000;1522,093334;1561,753331;
31.10.2025;0,01259956;-0,00294747;0,00414236;1;40;8;100.000.000;1517,60701;1557,156887;
4.11.2025;0,0618513;-0,02857568;0,03674828;1;40;3;100.000.000;1474,240357;1513,289821;
6.11.2025;0,03958181;0,0025674;0,01508819;1;40;7;100.000.000;1478,025322;1517,180033;
10.11.2025;0,13349397;0,00844463;0,05565858;1;40;2;100.000.000;1490,506699;1530,046306;
12.11.2025;0,0674893;0,00627035;0,04062008;1;40;3;100.000.000;1499,852698;1539,670373;
14.11.2025;0,00127051;-0,00467511;-0,00248579;1;40;19;100.000.000;1492,840721;1532,489044;
18.11.2025;0,1333978;-0,01412852;0,11283965;1;40;1;100.000.000;1471,749091;1510,989479;
20.11.2025;0,00331972;-0,00001292;-0,0001226;1;40;18;100.000.000;1471,730076;1510,969957;
24.11.2025;0,0645489;0,01475543;0,01717725;1;40;1;100.000.000;1493,446086;1533,430266;
26.11.2025;0,0384288;0,01658202;0,02354344;1;40;6;100.000.000;1518,210439;1559,069626;
