t0,t1,expected_portfolio_return x1000,realized_portfolio_return x1000,objective,is_robust,n_assets,sum_w
2024-02-09,2024-02-16,64,29,-0.21407229972715888,1,3,1.0
2024-02-16,2024-02-26,15,-2,-0.21440940305045725,1,3,1.0
2024-02-26,2024-03-04,431,23,0.10463899541663747,1,3,0.9999999999999999
2024-03-04,2024-03-11,66,23,-0.23769082754547502,1,3,1.0
2024-03-11,2024-03-18,163,47,-0.11990094667366875,1,3,1.0
2024-03-18,2024-03-25,-85,6,-0.3120287684663129,1,3,0.9999999999999999
2024-03-25,2024-04-02,171,21,-0.10621154543216159,1,3,1.0
2024-04-02,2024-04-09,783,26,0.42703606035371455,1,3,1.0
2024-04-09,2024-04-16,106,5,-0.2214139583574846,1,3,1.0
2024-04-16,2024-04-23,833,33,0.46653006918321777,1,3,1.0
2024-04-23,2024-04-30,251,16,-0.10727149316353242,1,3,0.9999999999999999
2024-04-30,2024-05-07,-503,6,-0.7891908082546142,1,3,1.0
2024-05-07,2024-05-14,361,17,0.059441722253758045,1,3,1.0
2024-05-14,2024-05-21,-391,13,-0.7049113623691399,1,3,1.0
2024-05-21,2024-05-29,1473,-1,0.8432966053754154,1,3,1.0
2024-05-29,2024-06-05,-185,4,-0.5783172225489647,1,3,1.0
2024-06-05,2024-06-12,1061,-27,0.372120660955039,1,3,1.0
2024-06-12,2024-06-20,452,31,-0.004081324045238994,1,3,1.0
2024-06-20,2024-06-27,200,-37,-0.5214137999819062,1,3,1.0
2024-06-27,2024-07-05,2181,70,1.293838991051898,1,3,1.0
2024-07-05,2024-07-12,-142,24,-0.5746723532553111,1,3,1.0
2024-07-12,2024-07-19,-279,-11,-0.715278630301065,1,3,1.0
2024-07-19,2024-07-26,4,-5,-0.4317138435140883,1,3,0.9999999999999999
2024-07-26,2024-08-02,365,6,-0.3822598602431404,1,3,1.0
2024-08-02,2024-08-09,-167,12,-0.6033542491906552,1,3,1.0
2024-08-09,2024-08-16,577,14,0.11837325539475212,1,3,1.0
2024-08-16,2024-08-23,11,2,-0.4437718493239011,1,3,1.0
2024-08-23,2024-08-30,29,-9,-0.4074035025976063,1,3,1.0
2024-08-30,2024-09-09,134,4,-0.3015356561428435,1,3,1.0
2024-09-09,2024-09-16,-118,29,-0.5509284345452744,1,3,1.0
2024-09-16,2024-09-23,162,23,-0.2699915525573891,1,3,1.0
2024-09-23,2024-09-30,60,0,-0.3657999395752529,1,3,1.0
2024-09-30,2024-10-07,49,-8,-0.3574805866358047,1,3,1.0
2024-10-07,2024-10-14,211,12,-0.18366446901866035,1,3,1.0
2024-10-14,2024-10-21,192,34,-0.12893657056567784,1,3,1.0
2024-10-21,2024-10-28,606,-10,0.2164089708400216,1,3,1.0
2024-10-28,2024-11-04,382,2,0.0729465847789874,1,3,1.0
2024-11-04,2024-11-11,18,-49,-0.2450291251400235,1,3,1.0
2024-11-11,2024-11-18,705,-2,0.1968773153813584,1,3,1.0
2024-11-18,2024-11-25,-371,-7,-0.724525298537143,1,3,1.0
2024-11-25,2024-12-03,47,9,-0.25079334164717487,1,3,1.0
2024-12-03,2024-12-10,-852,19,-1.3041915375422708,1,3,1.0
2024-12-10,2024-12-17,564,-33,0.1328485525829484,1,3,1.0
2024-12-17,2024-12-24,139,-6,-0.29224529194046023,1,3,1.0
2024-12-24,2025-01-02,374,7,-0.05984832352588156,1,3,1.0
2025-01-02,2025-01-09,289,22,-0.1329845706614994,1,3,1.0
2025-01-09,2025-01-16,550,31,0.061316442311733686,1,3,1.0
2025-01-16,2025-01-24,-164,8,-0.557768121117077,1,3,1.0
2025-01-24,2025-01-31,-45,17,-0.4525792627527708,1,3,1.0
2025-01-31,2025-02-07,-108,11,-0.534022539328306,1,3,1.0
2025-02-07,2025-02-14,635,-7,0.10359751367836618,1,3,1.0
2025-02-14,2025-02-24,311,-15,-0.2249074177995548,1,3,1.0
2025-02-24,2025-03-03,-70,0,-0.46422534308434127,1,3,1.0
2025-03-03,2025-03-10,232,-1,-0.2980867880707506,1,3,0.9999999999999999
2025-03-10,2025-03-17,831,40,0.259862637894155,1,3,1.0
2025-03-17,2025-03-24,77,-5,-0.3190357033530744,1,3,0.9999999999999999
2025-03-24,2025-03-31,168,27,-0.22303148122339614,1,3,1.0
2025-03-31,2025-04-07,-68,-72,-0.4491221288225959,1,3,1.0
2025-04-07,2025-04-14,524,76,0.09608188449511197,1,3,1.0
2025-04-14,2025-04-22,-45,55,-0.4568633009205026,1,3,1.0
2025-04-22,2025-04-29,2013,-7,1.1900047371213915,1,3,1.0
2025-04-29,2025-05-06,-328,20,-0.9495489095929553,1,3,1.0
2025-05-06,2025-05-13,59,-13,-0.3399519456468315,1,3,0.9999999999999999
2025-05-13,2025-05-20,133,30,-0.2855628520004516,1,3,1.0
2025-05-20,2025-05-28,377,0,-0.118728710249826,1,3,1.0
2025-05-28,2025-06-04,-371,16,-0.7869686584512323,1,3,1.0
2025-06-04,2025-06-11,232,-8,-0.18542573287947317,1,3,1.0
2025-06-11,2025-06-18,275,2,-0.14528340606165868,1,3,1.0
2025-06-18,2025-06-26,-43,5,-0.5693679643482463,1,3,1.0
2025-06-26,2025-07-03,487,20,-0.18645354944125347,1,3,1.0
2025-07-03,2025-07-10,115,-3,-0.3011157903855868,1,3,1.0
2025-07-10,2025-07-17,1530,-13,0.8436064283589052,1,3,1.0
2025-07-17,2025-07-24,99,30,-0.4547221727408826,1,3,1.0
2025-07-24,2025-07-31,831,-285,0.0920930586935687,1,3,1.0
2025-07-31,2025-08-07,1470,-7,0.6207498506094349,1,3,1.0
2025-08-07,2025-08-14,108,-30,-0.33056803876265994,1,3,1.0
2025-08-14,2025-08-21,-277,2,-0.8098945973697683,1,3,1.0
2025-08-21,2025-08-28,52,16,-0.3999588460861362,1,3,1.0
2025-08-28,2025-09-05,48,39,-0.38869033582884105,1,3,1.0
2025-09-05,2025-09-12,144,15,-0.32949399097267174,1,3,1.0
2025-09-12,2025-09-19,68,0,-0.26257479450096405,1,3,1.0
2025-09-19,2025-09-26,507,53,0.12258609173326344,1,3,1.0
2025-09-26,2025-10-03,75,16,-0.20122992480867632,1,3,0.9999999999999999
2025-10-03,2025-10-10,226,6,-0.0678928240200815,1,3,1.0
2025-10-10,2025-10-17,-72,-17,-0.5377920485733415,1,3,1.0
2025-10-17,2025-10-24,256,-39,-0.05272514224689909,1,3,0.9999999999999998
2025-10-24,2025-10-31,-122,-4,-0.4235870417019631,1,3,1.0
2025-10-31,2025-11-07,581,2,0.14346805942130433,1,3,1.0
2025-11-07,2025-11-14,321,1,0.0024694076033221733,1,3,1.0
2025-11-14,2025-11-21,899,-14,0.4091888489624493,1,3,1.0
