Date,EMB,HYG,IEF,LQD,SHY,TIP,TLT
2023-03-07,73.01972961425781,62.80495071411133,86.09396362304688,93.29946899414062,72.62882232666016,97.84476470947266,90.85816192626953
2023-03-08,72.67445373535156,62.50864028930664,86.06678771972656,93.14925384521484,72.59278869628906,97.37728881835938,90.9475326538086
2023-03-09,72.69171905517578,62.16157913208008,86.6014175415039,93.06089782714844,72.8271713256836,97.63394165039062,91.17082977294922
2023-03-10,73.37364196777344,62.1700553894043,88.19625091552734,94.395263671875,73.22391510009766,99.07294464111328,94.31494140625
2023-03-13,73.25279235839844,61.8314323425293,89.2655258178711,94.47479248046875,73.95426177978516,99.82456970214844,94.52931213378906
2023-03-14,73.05426788330078,62.28009033203125,88.42280578613281,94.1919937133789,73.67475128173828,99.27462005615234,92.97509765625
2023-03-15,73.32185363769531,62.076927185058594,89.70046997070312,95.09337615966797,74.1075668334961,100.48448944091797,94.77049255371094
2023-03-16,73.0110855102539,62.48326873779297,88.89398956298828,94.95194244384766,73.80999755859375,99.34794616699219,94.02911376953125
2023-03-17,72.6830825805664,62.11079406738281,89.94513702392578,95.42916870117188,74.17969512939453,99.55876922607422,95.44039916992188
2023-03-20,72.69171905517578,61.94147491455078,89.58267211914062,95.14640045166016,74.08950805664062,99.650390625,94.60078430175781
2023-03-21,73.2096176147461,62.61872863769531,88.80339050292969,95.60591888427734,73.80999755859375,99.4395980834961,93.7879409790039
2023-03-22,73.84842681884766,62.677978515625,89.97234344482422,96.16264343261719,74.15263366699219,100.80529022216797,95.03846740722656
2023-03-23,74.11602020263672,62.432472229003906,90.48884582519531,96.43657684326172,74.36902618408203,100.98861694335938,95.03846740722656
2023-03-24,73.71031188964844,62.30550003051758,90.5159912109375,96.73702239990234,74.40509796142578,100.73196411132812,95.44039916992188
2023-03-27,73.39952850341797,62.153114318847656,89.4014663696289,95.57941436767578,74.08950805664062,99.94371032714844,93.19841003417969
2023-03-28,73.14058685302734,62.11924362182617,89.34709930419922,95.42033386230469,74.00836181640625,100.25533294677734,93.36812591552734
2023-03-29,73.49447631835938,62.89807891845703,89.19300079345703,95.8621597290039,73.98133087158203,100.44781494140625,93.18055725097656
2023-03-30,74.0037841796875,63.27054214477539,89.32896423339844,95.99473571777344,73.99031066894531,100.54863739013672,93.60929870605469
2023-03-31,74.47856903076172,63.956260681152344,89.81828308105469,96.86073303222656,74.08051300048828,101.05278015136719,95.01165008544922
2023-04-03,74.75768280029297,63.90693283081055,90.24137115478516,97.4457778930664,74.17086029052734,101.2335433959961,95.45849609375
2023-04-04,74.86170959472656,63.7198371887207,90.82247924804688,97.56988525390625,74.3425521850586,101.52718353271484,95.93311309814453
2023-04-05,74.70567321777344,63.36269760131836,91.20379638671875,97.88900756835938,74.44194793701172,101.7657699584961,96.9360580444336
2023-04-06,74.6276626586914,63.643306732177734,91.23106384277344,97.80036163330078,74.41484069824219,101.99518585205078,97.18678283691406
2023-04-10,74.23759460449219,63.583770751953125,90.33216857910156,97.34825134277344,74.15278625488281,101.27025604248047,95.61967468261719
2023-04-11,74.31558990478516,63.7198371887207,90.29583740234375,97.3216781616211,74.1437759399414,101.44462585449219,95.81668853759766
2023-04-12,74.53231048583984,63.702842712402344,90.55915069580078,97.11781311035156,74.22508239746094,101.4813003540039,95.71817016601562
2023-04-13,74.6103286743164,64.13655090332031,90.25955200195312,97.28620910644531,74.27025604248047,101.2335433959961,94.9659652709961
2023-04-14,74.45426177978516,64.0174789428711,89.81462860107422,96.96711730957031,74.09856414794922,100.79307556152344,94.09738159179688
2023-04-17,73.9775390625,63.847415924072266,89.24263000488281,96.35548400878906,73.99012756347656,100.33427429199219,92.9780044555664
2023-04-18,73.96018981933594,63.889915466308594,89.38788604736328,96.67457580566406,73.9720687866211,100.43521881103516,93.30933380126953
2023-04-19,73.60477447509766,63.6347770690918,89.19721984863281,96.1959228515625,73.9088134765625,100.33427429199219,93.21981048583984
2023-04-20,73.51807403564453,63.575279235839844,89.71477508544922,96.5593490600586,74.08953857421875,100.65544891357422,94.01673889160156
2023-04-21,73.52676391601562,63.77086639404297,89.4968490600586,96.62139129638672,74.04437255859375,100.70130157470703,93.48844909667969
2023-04-24,73.72615051269531,63.94944381713867,89.93268585205078,97.046875,74.12568664550781,101.08673858642578,94.39286804199219
2023-04-25,74.17689514160156,63.847415924072266,90.82247924804688,97.47238159179688,74.41484069824219,101.68316650390625,95.7808609008789
2023-04-26,73.9775390625,63.60081100463867,90.46837615966797,97.046875,74.3244857788086,101.32530975341797,94.76001739501953
2023-04-27,73.99484252929688,63.81337356567383,89.8781967163086,96.69229888916016,74.179931640625,100.98578643798828,93.81976318359375
2023-04-28,74.6796646118164,64.08550262451172,90.55007934570312,97.4457778930664,74.26121520996094,101.1050796508789,95.33312225341797
2023-05-01,73.93981170654297,63.79171371459961,89.48432159423828,95.87325286865234,74.09909057617188,100.26477813720703,92.58425903320312
2023-05-02,74.25318908691406,63.731929779052734,90.64929962158203,97.02952575683594,74.3436279296875,101.03034973144531,94.89141845703125
2023-05-03,74.4881820678711,63.697757720947266,91.24088287353516,97.18962097167969,74.52479553222656,101.4915771484375,95.42113494873047
2023-05-04,74.11390686035156,63.5098762512207,91.22265625,96.92279052734375,74.6425552368164,101.46387481689453,94.47845458984375
2023-05-05,74.32282257080078,63.85150146484375,90.73118591308594,96.5403060913086,74.4614028930664,101.26094818115234,94.1642837524414
2023-05-08,74.0268783569336,63.672122955322266,90.17601776123047,95.84656524658203,74.3436279296875,100.88276672363281,92.84459686279297
2023-05-09,73.99205780029297,63.5098762512207,90.06680297851562,95.81098937988281,74.32552337646484,100.73519134521484,92.51243591308594
2023-05-10,74.40113830566406,63.89418411254883,90.74029541015625,96.56704711914062,74.5066909790039,101.06725311279297,93.4101791381836
2023-05-11,74.63616180419922,63.79171371459961,91.0770492553711,96.94058227539062,74.55196380615234,101.28863525390625,94.397705078125
2023-05-12,74.1661376953125,63.56110382080078,90.53095245361328,96.34464263916016,74.42515563964844,100.92890167236328,93.607666015625
2023-05-15,73.84408569335938,63.544029235839844,90.33073425292969,95.82877349853516,74.43421173095703,100.78131103515625,92.63809967041016
2023-05-16,73.5568618774414,63.099891662597656,90.03950500488281,95.34847259521484,74.3436279296875,100.5138168334961,92.35981750488281
2023-05-17,73.56556701660156,63.270713806152344,89.74826049804688,95.33956909179688,74.26213073730469,100.46770477294922,92.0904769897461
