Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WMT
2023-10-24,171.59130859375,257.54730224609375,140.8772735595703,182.36000061035156,241.39210510253906,201.76846313476562,49.781864166259766,142.03773498535156,80.6604995727539,42.83274459838867,283.9305419921875,268.0102844238281,162.91505432128906,128.17958068847656,34.02099609375,134.41305541992188,52.02947235107422,243.9957275390625,70.36994934082031,95.96388244628906,325.0145568847656,100.69379425048828,25.951635360717773,141.4895477294922,74.63008117675781,151.77650451660156,502.76800537109375,230.73648071289062,29.572723388671875,53.06523132324219
2023-10-25,169.27626037597656,253.8537139892578,139.99937438964844,177.72999572753906,236.93280029296875,194.6944122314453,49.20901107788086,141.33050537109375,78.7358169555664,41.35395050048828,281.63385009765625,265.7587890625,159.88946533203125,127.51909637451172,32.289947509765625,133.6798858642578,52.47832107543945,244.71652221679688,69.79994201660156,96.52272033691406,334.9853820800781,99.12374877929688,26.20748519897461,142.15025329589844,74.6586685180664,158.32159423828125,507.75738525390625,232.8997802734375,29.046794891357422,52.90595245361328
2023-10-26,165.1111297607422,251.56849670410156,139.82376098632812,179.08999633789062,234.50485229492188,193.89414978027344,48.24173355102539,140.31497192382812,77.94445037841797,41.77149200439453,281.85211181640625,262.987060546875,158.06690979003906,133.73318481445312,31.985050201416016,134.0226593017578,52.16039276123047,242.6300506591797,69.22210693359375,98.31104278564453,322.41864013671875,95.7538833618164,26.574203491210938,141.39515686035156,75.36324310302734,158.06211853027344,505.9856872558594,227.4226837158203,29.71929359436035,52.584144592285156
2023-10-27,166.4269561767578,243.97601318359375,137.84356689453125,179.69000244140625,230.76138305664062,194.21029663085938,48.420169830322266,130.88507080078125,77.50480651855469,41.84978103637695,275.133056640625,261.5301818847656,158.91082763671875,132.5796661376953,34.95536804199219,129.19534301757812,51.65543746948242,242.5636749267578,68.33976745605469,95.76827239990234,324.3066101074219,93.80089569091797,25.678733825683594,138.9032745361328,75.3727798461914,154.4291534423828,502.4422912597656,225.4462127685547,28.83125114440918,52.38911056518555
2023-10-30,168.47486877441406,245.48703002929688,139.7554931640625,182.35000610351562,234.24366760253906,196.8778839111328,48.42955780029297,132.46273803710938,78.82374572753906,42.04985046386719,285.49639892578125,266.27911376953125,161.37982177734375,132.68202209472656,35.10289764404297,130.84251403808594,52.506378173828125,246.7271728515625,69.90145111083984,95.63787841796875,331.68145751953125,97.45796966552734,26.05397605895996,140.8854522705078,74.81099700927734,159.07122802734375,507.5466613769531,229.19264221191406,29.84861946105957,52.9904670715332
2023-10-31,168.9497528076172,238.5008544921875,142.44778442382812,186.82000732421875,218.66033935546875,198.41915893554688,48.95545959472656,132.1363525390625,79.71280670166016,42.04985046386719,288.1346740722656,269.31573486328125,164.53106689453125,134.5518341064453,35.899574279785156,132.40403747558594,52.824317932128906,248.64295959472656,71.01806640625,95.65650177001953,332.46807861328125,98.38658905029297,26.0625057220459,141.61221313476562,77.49607849121094,160.92617797851562,512.8807373046875,231.17897033691406,30.288331985473633,53.11723709106445
2023-11-01,172.11566162109375,243.2951202392578,142.85748291015625,189.3800048828125,224.25137329101562,201.46218872070312,49.01179885864258,130.549560546875,79.20477294921875,41.936763763427734,291.5037536621094,271.1510009765625,165.18646240234375,135.25875854492188,36.67658233642578,132.28981018066406,52.777557373046875,248.45326232910156,70.71353149414062,95.79621887207031,340.2952880859375,96.57720947265625,26.019861221313477,141.21580505371094,78.2197265625,162.69459533691406,509.0884094238281,234.60092163085938,30.521120071411133,53.591819763183594
2023-11-02,175.67727661132812,248.65834045410156,147.14956665039062,192.00999450683594,231.30307006835938,205.6117706298828,49.53770065307617,134.8837127685547,81.37369537353516,42.615272521972656,297.767333984375,278.6243591308594,167.3771209716797,136.7565155029297,37.079837799072266,134.65110778808594,53.385379791259766,253.08143615722656,72.08001708984375,95.79621887207031,342.5077209472656,100.59806060791016,26.011333465576172,142.94313049316406,78.81959533691406,162.37742614746094,513.4267578125,239.19305419921875,30.95220947265625,53.8031005859375
2023-11-03,174.76705932617188,251.70843505859375,149.01268005371094,195.0500030517578,232.87979125976562,204.97943115234375,49.781864166259766,133.8409881591797,83.11273956298828,43.258975982666016,310.92083740234375,279.64599609375,169.6754608154297,137.58444213867188,37.51259994506836,136.15545654296875,53.05809783935547,254.04884338378906,73.29032897949219,96.28985595703125,346.9129333496094,102.49359893798828,26.65948486328125,141.6499786376953,78.762451171875,161.8584442138672,508.41815185546875,239.53720092773438,31.055667877197266,53.523555755615234
2023-11-06,177.31959533691406,254.47860717773438,149.237060546875,192.9499969482422,230.49050903320312,204.9300537109375,50.04481506347656,133.2878875732422,82.0868911743164,42.91973114013672,307.39996337890625,278.66217041015625,168.3377685546875,138.57980346679688,37.448463439941406,137.18374633789062,53.273162841796875,255.03518676757812,73.02484130859375,97.18402099609375,350.5806884765625,102.67550659179688,26.591259002685547,142.47120666503906,78.45777130126953,162.95408630371094,510.86981201171875,239.42904663085938,30.728042602539062,53.595069885253906
